# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
0.10,0.10,0.80,0.00,0.11,0.10,0.79,0.00,0.10,0.10,0.79,0.00,0.9900
0.10,0.10,0.70,0.10,0.10,0.11,0.79,0.00,0.11,0.10,0.72,0.07,0.6850
0.10,0.10,0.60,0.20,0.12,0.13,0.75,0.00,0.11,0.11,0.65,0.14,0.5667
0.10,0.10,0.50,0.30,0.16,0.15,0.69,0.00,0.11,0.11,0.58,0.20,0.4467
0.10,0.10,0.40,0.40,0.19,0.14,0.66,0.01,0.12,0.11,0.50,0.27,0.3850
0.10,0.10,0.30,0.50,0.24,0.21,0.53,0.02,0.12,0.13,0.41,0.34,0.3067
0.10,0.10,0.20,0.60,0.20,0.27,0.42,0.11,0.13,0.15,0.34,0.39,0.2217
0.10,0.10,0.10,0.70,0.21,0.32,0.35,0.12,0.14,0.17,0.24,0.46,0.1100
0.10,0.10,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.00,0.90,0.00,0.11,0.00,0.89,0.00,0.10,0.00,0.90,0.00,1.0000
0.10,0.00,0.80,0.10,0.10,0.00,0.90,0.00,0.10,0.00,0.83,0.07,0.6867
0.10,0.00,0.70,0.20,0.12,0.00,0.88,0.00,0.11,0.00,0.75,0.14,0.5717
0.10,0.00,0.60,0.30,0.12,0.00,0.88,0.00,0.11,0.00,0.69,0.20,0.4400
0.10,0.00,0.50,0.40,0.20,0.00,0.78,0.02,0.12,0.00,0.61,0.27,0.4150
0.10,0.00,0.40,0.50,0.23,0.00,0.69,0.08,0.12,0.00,0.53,0.34,0.3400
0.10,0.00,0.30,0.60,0.20,0.00,0.69,0.11,0.13,0.00,0.48,0.39,0.2550
0.10,0.00,0.20,0.70,0.23,0.00,0.52,0.25,0.14,0.00,0.41,0.46,0.1783
0.10,0.00,0.10,0.80,0.23,0.00,0.44,0.33,0.15,0.00,0.35,0.49,0.1000
0.10,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.90,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.90,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.80,0.20,0.00,0.00,0.79,0.21,0.00,0.00,0.77,0.23,0.00,0.7933
0.00,0.80,0.10,0.10,0.00,0.88,0.12,0.00,0.00,0.79,0.13,0.07,0.4600
0.00,0.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.70,0.30,0.00,0.00,0.72,0.28,0.00,0.00,0.68,0.32,0.00,0.7967
0.00,0.70,0.20,0.10,0.00,0.79,0.21,0.00,0.00,0.71,0.22,0.07,0.5517
0.00,0.70,0.10,0.20,0.00,0.86,0.14,0.00,0.00,0.73,0.12,0.15,0.4350
0.00,0.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.60,0.40,0.00,0.00,0.63,0.37,0.00,0.00,0.59,0.41,0.00,0.9233
0.00,0.60,0.30,0.10,0.00,0.68,0.32,0.00,0.00,0.61,0.32,0.07,0.6117
0.00,0.60,0.20,0.20,0.00,0.75,0.25,0.00,0.00,0.63,0.23,0.14,0.5300
0.00,0.60,0.10,0.30,0.00,0.87,0.13,0.00,0.00,0.66,0.13,0.21,0.3967
0.00,0.60,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.50,0.50,0.00,0.00,0.52,0.48,0.00,0.00,0.50,0.50,0.00,0.9683
0.00,0.50,0.40,0.10,0.00,0.55,0.45,0.00,0.00,0.50,0.43,0.07,0.6383
0.00,0.50,0.30,0.20,0.00,0.58,0.42,0.00,0.00,0.52,0.34,0.14,0.5550
0.00,0.50,0.20,0.30,0.00,0.70,0.30,0.00,0.00,0.55,0.24,0.21,0.4300
0.00,0.50,0.10,0.40,0.00,0.83,0.17,0.00,0.00,0.59,0.14,0.27,0.3467
0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.40,0.60,0.00,0.00,0.41,0.59,0.00,0.00,0.41,0.59,0.00,0.9833
0.00,0.40,0.50,0.10,0.00,0.42,0.58,0.00,0.00,0.41,0.52,0.07,0.6650
0.00,0.40,0.40,0.20,0.00,0.48,0.52,0.00,0.00,0.43,0.43,0.14,0.5400
0.00,0.40,0.30,0.30,0.00,0.58,0.42,0.00,0.00,0.45,0.34,0.20,0.4350
0.00,0.40,0.20,0.40,0.00,0.72,0.28,0.00,0.00,0.48,0.25,0.27,0.3600
0.00,0.40,0.10,0.50,0.00,0.82,0.17,0.01,0.00,0.53,0.14,0.33,0.2700
0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.30,0.70,0.00,0.00,0.31,0.69,0.00,0.00,0.31,0.69,0.00,0.9967
0.00,0.30,0.60,0.10,0.00,0.31,0.69,0.00,0.00,0.31,0.62,0.07,0.6750
0.00,0.30,0.50,0.20,0.00,0.37,0.63,0.00,0.00,0.33,0.54,0.14,0.5650
0.00,0.30,0.40,0.30,0.00,0.45,0.55,0.00,0.00,0.34,0.46,0.20,0.4617
0.00,0.30,0.30,0.40,0.00,0.54,0.46,0.00,0.00,0.37,0.37,0.26,0.3550
